,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,accommodates,bedrooms,beds,instant_bookable,price,Clothing,Entertainment,Exercise,Kitchen,Luxury,Outdoor,Parking,Security,Streaming,Technology,Views,Ward,Privacy,review_scores_rating,Target
0,2.0,1.0,1.0,0.39646102343376377,1,1.7702985856469355,1.0,0,67.0,0,0,0,1,1,1,0,1,0,0,0,8,2,4.63,0
1,1.0,1.0,0.88,0.39646102343376377,2,1.7702985856469355,1.0,0,85.0,1,0,1,1,0,0,0,1,0,0,0,5,2,4.83,1
2,1.0,1.0,1.0,0.0,7,4.0,5.0,0,354.0,1,1,0,1,1,1,1,1,1,0,1,1,1,4.91,1
3,1.0,1.0,0.99,1.0,1,1.7702985856469355,1.0,0,49.0,1,0,0,1,1,1,1,1,0,0,0,4,2,4.63,0
4,1.0,1.0,1.0,0.39646102343376377,1,1.7702985856469355,1.0,0,87.0,1,1,0,1,1,1,0,1,1,0,0,6,2,4.84,1
5,1.0,1.0,1.0,0.39646102343376377,1,1.7702985856469355,1.0,0,50.0,1,1,1,1,1,1,0,1,1,1,0,4,2,4.87,1
6,1.0,1.0,0.88,0.39646102343376377,2,1.7702985856469355,1.0,0,85.0,1,0,0,1,0,1,0,1,0,0,0,5,2,4.85,1
7,2.0,1.0,0.97,0.39646102343376377,2,1.7702985856469355,1.0,0,95.0,1,0,0,0,0,0,1,1,0,0,0,8,2,4.94,1
8,1.0,1.0,0.91,0.39646102343376377,1,1.7702985856469355,1.0,0,2500.0,0,0,0,0,1,0,0,1,0,0,0,5,2,4.74,1
9,3.0,1.0,1.0,0.0,2,1.0,1.0,0,100.0,1,0,0,1,0,0,0,1,0,0,0,3,1,4.63,0
10,1.0,1.0,0.0,0.0,3,1.0,1.0,0,63.0,1,1,0,1,1,0,0,1,1,0,1,1,1,4.54,0
11,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,1,1.7702985856469355,1.0,0,39.0,1,0,0,0,0,0,0,1,0,0,0,4,2,4.47,0
12,2.0,0.9,0.91,0.0,4,2.0,2.0,0,80.0,1,0,0,1,0,0,0,1,0,0,0,1,1,4.3,0
13,2.0,1.0,1.0,0.39646102343376377,1,1.7702985856469355,1.0,0,82.0,1,1,1,1,0,1,1,1,0,0,0,4,2,4.94,1
15,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,1,1.7702985856469355,1.0,0,35.0,1,0,0,0,0,0,0,1,0,0,0,1,2,4.5,0
16,1.0,1.0,0.99,0.0,2,1.0,2.0,0,65.0,1,0,0,1,0,1,0,1,1,0,1,2,1,4.79,1
17,1.3098230912476723,0.9654562383612664,1.0,1.0,4,2.0,2.0,0,139.0,1,1,1,1,0,1,0,1,1,1,1,1,1,4.74,1
18,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,3,1.7702985856469355,2.0,0,125.0,1,0,1,0,0,1,0,1,0,0,0,4,1,4.2,0
19,1.0,1.0,1.0,0.39646102343376377,4,1.0,3.0,0,85.0,1,0,0,1,0,1,0,1,1,1,0,3,1,4.59,0
20,1.0,1.0,0.8,0.39646102343376377,2,1.7702985856469355,1.0,0,43.0,1,0,0,1,1,0,0,1,0,0,0,5,2,4.72,1
21,1.0,1.0,0.95,0.0,10,4.0,5.0,0,564.0,1,0,0,1,0,1,1,1,0,0,0,1,1,4.62,0
22,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,52.0,1,0,0,1,1,1,0,1,0,1,0,3,2,4.62,0
23,1.3098230912476723,0.9654562383612664,1.0,0.0,2,1.0,2.0,0,90.0,0,0,0,1,0,0,0,0,0,0,0,4,1,4.49,0
24,2.0,1.0,0.86,0.0,2,1.0,2.0,0,125.0,1,0,0,1,0,0,0,1,0,0,0,1,1,4.85,1
25,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,0,33.0,1,0,0,1,0,0,1,1,0,0,0,8,2,4.6,0
26,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.39646102343376377,1,1.7702985856469355,1.0,0,350.0,0,0,0,0,0,0,1,0,0,0,0,5,2,0.0,0
27,3.0,1.0,0.67,1.0,5,3.0,3.0,0,165.0,1,0,0,1,0,1,0,1,0,0,0,2,1,4.91,1
28,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,0,45.0,1,0,0,1,1,1,0,1,0,1,0,3,2,4.62,0
29,3.0,1.0,0.67,1.0,5,3.0,2.0,0,180.0,1,0,0,1,0,1,0,1,0,0,0,2,1,4.91,1
30,2.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,90.0,1,1,0,1,1,0,0,1,0,0,1,3,2,4.77,1
31,1.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,0,50.0,1,0,0,1,1,1,0,1,0,0,0,3,2,4.66,0
32,1.0,1.0,0.99,1.0,3,1.0,2.0,1,123.0,1,1,0,1,1,1,1,1,1,0,0,4,1,4.74,1
33,2.0,1.0,1.0,0.39646102343376377,3,1.7702985856469355,2.0,0,90.0,1,0,0,1,1,0,0,1,0,0,0,3,2,5.0,1
34,2.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,90.0,1,0,0,1,0,0,1,1,0,0,0,3,2,4.83,1
35,2.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,90.0,1,0,0,1,1,0,0,1,0,0,0,3,2,4.67,0
36,1.0,1.0,1.0,0.0,5,2.0,4.0,0,176.0,1,0,0,1,0,1,1,1,1,0,0,5,1,4.72,1
37,1.0,1.0,1.0,0.0,8,5.0,8.0,0,269.0,1,1,0,1,1,1,1,1,1,0,0,4,1,4.27,0
38,2.0,1.0,0.92,0.39646102343376377,2,1.7702985856469355,1.0,0,89.0,0,0,0,0,0,0,0,1,0,0,0,1,2,4.74,1
39,2.0,1.0,0.0,0.39646102343376377,1,1.7702985856469355,1.0,0,58.0,1,0,0,0,1,1,1,1,0,0,0,4,2,4.87,1
40,2.0,1.0,1.0,0.39646102343376377,1,1.7702985856469355,1.0,0,55.0,1,0,0,1,0,0,1,1,0,0,0,4,2,4.5,0
41,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,1.0,3.0,0,645.0,1,0,0,0,0,0,1,1,0,0,0,6,1,4.77,1
42,3.0,1.0,0.86,1.0,2,1.0,1.0,0,185.0,1,0,0,1,0,1,0,1,0,1,0,1,1,4.84,1
43,1.0,1.0,1.0,0.0,4,1.0,3.0,1,149.0,1,0,0,1,0,0,1,1,0,0,0,2,1,4.89,1
44,2.0,1.0,1.0,0.39646102343376377,2,1.7702985856469355,1.0,1,50.0,0,0,0,0,1,0,0,1,0,0,0,4,2,4.75,1
